latency_s,ok,start,end
0.26119752299564425,True,110394.432854991,110394.694052514
0.2634896259987727,True,110394.430777394,110394.69426702
0.2539093589875847,True,110394.440690115,110394.694599474
0.20785154300392605,True,110394.491513647,110394.69936519
0.24065172699920367,True,110394.458862922,110394.699514649
0.25619587099936325,True,110394.44336611,110394.699561981
0.3122198109922465,True,110394.435572457,110394.747792268
0.28585566001129337,True,110394.462467878,110394.748323538
0.2977469839970581,True,110394.454615451,110394.752362435
0.2750768400001107,True,110394.477768971,110394.752845811
0.24964014599390794,True,110394.503450139,110394.753090285
0.26759478099120315,True,110394.485538077,110394.753132858
0.27701205099583603,True,110394.476155945,110394.753167996
0.22860868800489698,True,110394.525495492,110394.75410418
0.29468202400312293,True,110394.464066186,110394.75874821
0.2910215899901232,True,110394.468430634,110394.759452224
0.34348525099630933,True,110394.437382485,110394.780867736
0.32027943000139203,True,110394.460851386,110394.781130816
0.3302190620015608,True,110394.451119096,110394.781338158
0.3601057110063266,True,110394.482087089,110394.8421928
0.3263746520096902,True,110394.519237755,110394.845612407
0.34074317700287793,True,110394.505063646,110394.845806823
0.36200037199887447,True,110394.483850256,110394.845850628
0.36544524900091346,True,110394.480442562,110394.845887811
0.35771563900925685,True,110394.488205857,110394.845921496
0.3443706770049175,True,110394.501858415,110394.846229092
0.3981239069980802,True,110394.448533926,110394.846657833
0.4016496499971254,True,110394.445051206,110394.846700856
0.3951595830003498,True,110394.45282452,110394.847984103
0.38141545800317544,True,110394.466719217,110394.848134675
0.32705295699997805,True,110394.521120884,110394.848173841
0.35095465600898024,True,110394.497511681,110394.848466337
0.4017122220102465,True,110394.446791759,110394.848503981
0.3739717220014427,True,110394.474566034,110394.848537756
0.40952069299237337,True,110394.439049816,110394.848570509
0.3493632930039894,True,110394.499238237,110394.84860153
0.3924111560045276,True,110394.456221904,110394.84863306
0.35284839700034354,True,110394.495816866,110394.848665263
0.6019548079930246,True,110394.51488508,110395.116839888
0.6275328170013381,True,110394.489838601,110395.117371418
0.5729648179985816,True,110394.546422276,110395.119387094
0.5919174759910675,True,110394.531035498,110395.122952974
0.5476582039991627,True,110394.575891316,110395.12354952
0.5676944139995612,True,110394.555920463,110395.123614877
0.5514633089915151,True,110394.572199631,110395.12366294
0.5232674679864431,True,110394.600837068,110395.124104536
0.5349661190120969,True,110394.589290472,110395.124256591
0.563753957991139,True,110394.560541999,110395.124295957
0.5948325759964064,True,110394.537266543,110395.132099119
0.5135770979977679,True,110394.619241505,110395.132818603
0.5199726520077093,True,110394.6129694,110395.132942052
0.5427747100038687,True,110394.590997651,110395.133772361
0.498563583008945,True,110394.636707142,110395.135270725
0.4955765239865286,True,110394.642204115,110395.137780639
0.5042778569913935,True,110394.638098779,110395.142376636
0.5348978660040302,True,110394.609309508,110395.144207374
0.675850903004175,True,110394.472715368,110395.148566271
0.6375947350024944,True,110394.511129662,110395.148724397
0.6159851480042562,True,110394.532781141,110395.148766289
0.6355456040037097,True,110394.513258077,110395.148803681
0.5651975250075338,True,110394.585604699,110395.150802224
0.5852313389914343,True,110394.565648015,110395.150879354
0.600213514000643,True,110394.550721668,110395.150935182
0.5423475629941095,True,110394.611054219,110395.153401782
0.5324927350011421,True,110394.621068696,110395.153561431
0.5415428139967844,True,110394.616512046,110395.15805486
0.6288209530030144,True,110394.534559407,110395.16338036
0.5391043870040448,True,110394.624717979,110395.163822366
0.5102519039937761,True,110394.653617413,110395.163869317
0.5490993980056373,True,110394.614809045,110395.163908443
0.5298996400088072,True,110394.634049612,110395.163949252
0.5411247430020012,True,110394.622868504,110395.163993247
0.6654568700032542,True,110394.509475917,110395.174932787
0.705017376007163,True,110394.470072696,110395.175090072
0.6809217909903964,True,110394.494211455,110395.175133246
0.6334479789948091,True,110394.544736049,110395.178184028
0.6373291300114943,True,110394.540902991,110395.178232121
0.6606889710092219,True,110394.51758423,110395.178273201
0.6329564780025976,True,110394.548140085,110395.181096563
0.6523201929958304,True,110394.529225911,110395.181546104
0.5901882949983701,True,110394.595379713,110395.185568008
0.6269642550032586,True,110394.55875701,110395.185721265
0.6119963280070806,True,110394.579713663,110395.191709991
0.6426850610005204,True,110394.552510575,110395.195195636
0.6080533070053207,True,110394.587545711,110395.195599018
0.6265706319973106,True,110394.573914234,110395.200484866
0.6383639169944217,True,110394.562170054,110395.200533971
0.61685440299334,True,110394.583717472,110395.200571875
0.6068165500037139,True,110394.593790343,110395.200606893
0.661537595995469,True,110394.539106198,110395.200643794
0.673348034004448,True,110394.527329255,110395.200677289
0.5999274490022799,True,110394.603705227,110395.203632676
0.5735470649960916,True,110394.630254428,110395.203801493
0.5749846709950361,True,110394.628865997,110395.203850668
0.5774291489942698,True,110394.626458361,110395.20388751
0.6542832060076762,True,110394.563913123,110395.218196329
0.6756255369982682,True,110394.542976369,110395.218601906
0.695830622993526,True,110394.522817242,110395.218647865
0.6510294509935193,True,110394.567656237,110395.218685688
0.6647586780018173,True,110394.554203596,110395.218962274
0.6372977800056105,True,110394.581704101,110395.219001881
0.7161116059869528,True,110394.507758499,110395.223870105
0.6464242469955934,True,110394.577783552,110395.224207799
0.6537044150027214,True,110394.570543733,110395.224248148
0.596937384994817,True,110394.632601145,110395.22953853
0.5774565019964939,True,110394.652272647,110395.229729149
0.5891698320046999,True,110394.640601439,110395.229771271
0.6221846119879046,True,110394.607625635,110395.229810247
0.5798449799913215,True,110394.650000815,110395.229845795
0.6254753500106744,True,110394.60469251,110395.23016786
0.6311618889885722,True,110394.599045637,110395.230207526
0.6399436779902317,True,110394.597091931,110395.237035609
0.5909144129982451,True,110394.646256368,110395.237170781
0.6296503400080837,True,110394.665337466,110395.294987806
0.6205000079935417,True,110394.675019379,110395.295519387
0.6340581519907573,True,110394.662329447,110395.296387599
0.6011905069899512,True,110394.697237276,110395.298427783
0.6254217749956297,True,110394.673525895,110395.29894767
0.6513918739947258,True,110394.681395245,110395.332787119
0.6439347819978138,True,110394.689105337,110395.333040119
0.657063674996607,True,110394.677429139,110395.334492814
0.6441183489951072,True,110394.691390094,110395.335508443
0.6257769740041113,True,110394.714796745,110395.340573719
0.6283491479989607,True,110394.712445539,110395.340794687
0.8280394850007724,True,110394.644695984,110395.472735469
