latency_s,ok,start,end
0.09802822899655439,True,108561.577217172,108561.675245401
0.09977850099676289,True,108561.575515424,108561.675293925
0.11699400299403351,True,108561.571459204,108561.688453207
0.11283792801259551,True,108561.578260114,108561.691098042
0.11364484200021252,True,108561.577491304,108561.691136146
0.12169795800582506,True,108561.57184928,108561.693547238
0.12611075000313576,True,108561.569445993,108561.695556743
0.11628136200306471,True,108561.579795128,108561.69607649
0.12135921299341135,True,108561.574751323,108561.696110536
0.12343083700397983,True,108561.574278537,108561.697709374
0.12511461999383755,True,108561.57262842,108561.69774304
0.10765583699685521,True,108561.675474635,108561.783130472
0.11010687699308619,True,108561.675873468,108561.785980345
0.13553551500081085,True,108561.677068294,108561.812603809
0.13578901599976234,True,108561.677437229,108561.813226245
0.13540593399375211,True,108561.677890958,108561.813296892
0.24810610599524807,True,108561.580263746,108561.828369852
0.1555613130040001,True,108561.676714478,108561.832275791
0.1392402339988621,True,108561.693639577,108561.832879811
0.15704495798854623,True,108561.676268765,108561.833313723
0.16146234900224954,True,108561.678888952,108561.840351301
0.15620170399779454,True,108561.695634293,108561.851835997
0.16074755300360266,True,108561.691183969,108561.851931522
0.1715118129941402,True,108561.680488592,108561.852000405
0.1890979830059223,True,108561.680992058,108561.870090041
0.1930083810002543,True,108561.679967192,108561.872975573
0.18997071498597506,True,108561.683066979,108561.873037694
0.18715181200241204,True,108561.691657456,108561.878809268
0.2249537179886829,True,108561.686820553,108561.911774271
0.22770049099926837,True,108561.684847449,108561.91254794
0.23293738999927882,True,108561.682015421,108561.914952811
0.2225193210033467,True,108561.696240217,108561.918759538
0.23670064299949445,True,108561.682569254,108561.919269897
0.22320234499056824,True,108561.696664289,108561.919866634
0.2351708580099512,True,108561.685773604,108561.920944462
0.2350576680037193,True,108561.688488305,108561.923545973
0.23596479700063355,True,108561.687930724,108561.923895521
0.23268387900316156,True,108561.694085331,108561.92676921
0.22963164398970548,True,108561.698164286,108561.92779593
0.23702310799853876,True,108561.698899501,108561.935922609
0.2568439979950199,True,108561.681532185,108561.938376183
0.2422551769996062,True,108561.699814644,108561.942069821
0.2529987570014782,True,108561.689126081,108561.942124838
0.26847843499854207,True,108561.678381208,108561.946859643
0.2497300619870657,True,108561.697767307,108561.947497369
0.26375731600273866,True,108561.683795811,108561.947553127
0.2694670109922299,True,108561.679502942,108561.948969953
0.2586098710016813,True,108561.694561554,108561.953171425
0.26353991399810184,True,108561.702440844,108561.965980758
0.2761551620060345,True,108561.690118264,108561.966273426
0.28005205299996305,True,108561.686294203,108561.966346256
0.2778437649976695,True,108561.692130753,108561.969974518
0.27741330000571907,True,108561.692632095,108561.970045395
0.27706648799357936,True,108561.693048642,108561.97011513
0.27514501500991173,True,108561.695037406,108561.970182421
0.2664229520014487,True,108561.705085248,108561.9715082
0.28971128301054705,True,108561.690630085,108561.980341368
0.28133510999032296,True,108561.699244018,108561.980579128
0.27989762400102336,True,108561.70074631,108561.980643934
0.3024060939933406,True,108561.684323163,108561.986729257
0.300036510991049,True,108561.687304812,108561.987341323
0.29774564200488385,True,108561.689665356,108561.987410998
0.2981035359989619,True,108561.701283501,108561.999387037
0.3146028600021964,True,108561.685295267,108561.999898127
0.2900882630056003,True,108561.70987518,108561.999963443
0.28758130499045365,True,108561.712441544,108562.000022849
0.2899207479931647,True,108561.716535618,108562.006456366
0.2868037580046803,True,108561.720153759,108562.006957517
0.296113268006593,True,108561.710941277,108562.007054545
0.307676887998241,True,108561.701841262,108562.00951815
0.30237422201025765,True,108561.707202411,108562.009576633
0.2960001989995362,True,108561.713624767,108562.009624966
0.3011766510026064,True,108561.711500811,108562.012677462
0.30263440700946376,True,108561.710438111,108562.013072518
0.32443216801038943,True,108561.706580716,108562.031012884
0.3235008830088191,True,108561.708400583,108562.031901466
