latency_s,ok,start,end
0.10805733595043421,True,1750052.646276103,1750052.754333439
0.12355760601349175,True,1750052.644271264,1750052.76782887
0.12163468590006232,True,1750052.646619707,1750052.768254393
0.12091024499386549,True,1750052.647392943,1750052.768303188
0.12465840601362288,True,1750052.649027055,1750052.773685461
0.12432674411684275,True,1750052.649500331,1750052.773827075
0.13588262302801013,True,1750052.656771098,1750052.792653721
0.14089156384579837,True,1750052.652215504,1750052.793107068
0.1427947769407183,True,1750052.651834316,1750052.794629093
0.14070557500235736,True,1750052.654326598,1750052.795032173
0.14493019809015095,True,1750052.650144076,1750052.795074274
0.14430973795242608,True,1750052.653935201,1750052.798244939
0.14643723401241004,True,1750052.658873806,1750052.80531104
0.1486953131388873,True,1750052.657188095,1750052.805883408
0.15379797597415745,True,1750052.659945339,1750052.813743315
0.15667558298446238,True,1750052.659258821,1750052.815934404
0.1545901980716735,True,1750052.663815948,1750052.818406146
0.15729093295522034,True,1750052.661550275,1750052.818841208
0.14782796520739794,True,1750052.671056677,1750052.818884642
0.15742019400931895,True,1750052.673421412,1750052.830841606
0.1572219799272716,True,1750052.673844271,1750052.831066251
0.16847294801846147,True,1750052.668997163,1750052.837470111
0.17730405391193926,True,1750052.666522976,1750052.84382703
0.17735083517618477,True,1750052.666912329,1750052.844263164
0.1687362880911678,True,1750052.675567905,1750052.844304193
0.1826177448965609,True,1750052.662035183,1750052.844652928
0.18655348010361195,True,1750052.668553113,1750052.855106593
0.19147139484994113,True,1750052.664145616,1750052.855617011
0.1850142020266503,True,1750052.670649219,1750052.855663421
0.19084986299276352,True,1750052.664854377,1750052.85570424
0.17691655410453677,True,1750052.678827252,1750052.855743806
0.1802139850333333,True,1750052.681454635,1750052.86166862
0.1859811320900917,True,1750052.683171978,1750052.86915311
0.19972175708971918,True,1750052.676706038,1750052.876427795
0.19865143694914877,True,1750052.679468232,1750052.878119669
0.20991125190630555,True,1750052.67180751,1750052.881718762
0.17923279595561326,True,1750052.702877273,1750052.882110069
0.17947524483315647,True,1750052.703961651,1750052.883436896
0.18313550692982972,True,1750052.700687787,1750052.883823294
0.18990314984694123,True,1750052.69828569,1750052.88818884
0.2227656519971788,True,1750052.681037869,1750052.903803521
0.22489302908070385,True,1750052.685231542,1750052.910124571
0.22235622094012797,True,1750052.690427866,1750052.912784087
0.206145215081051,True,1750052.713394943,1750052.919540158
0.23133545299060643,True,1750052.693237412,1750052.924572865
0.23854657518677413,True,1750052.687921587,1750052.926468162
0.23461591987870634,True,1750052.703178165,1750052.937794085
0.22626174590550363,True,1750052.71477864,1750052.941040386
0.24084414006210864,True,1750052.701150202,1750052.941994342
0.2368352240882814,True,1750052.708481265,1750052.945316489
0.23589719901792705,True,1750052.711022322,1750052.946919521
0.22779907193034887,True,1750052.725705731,1750052.953504803
0.23725894396193326,True,1750052.716488959,1750052.953747903
0.2326150389853865,True,1750052.727997836,1750052.960612875
0.23292286600917578,True,1750052.728417317,1750052.961340183
0.22462889784947038,True,1750052.739064437,1750052.963693335
0.24961594282649457,True,1750052.717752383,1750052.967368326
0.22316065686754882,True,1750052.744413817,1750052.967574474
0.25154894194565713,True,1750052.719508351,1750052.971057293
0.22598258685320616,True,1750052.75596704,1750052.981949627
0.23559855204075575,True,1750052.748569407,1750052.984167959
0.25209911703132093,True,1750052.732691567,1750052.984790684
0.24879152700304985,True,1750052.736055215,1750052.984846742
0.25854605017229915,True,1750052.730167664,1750052.988713714
0.255718810018152,True,1750052.740700713,1750052.996419523
0.2699439520947635,True,1750052.730708761,1750053.000652713
0.233770014019683,True,1750052.766927216,1750053.00069723
0.3088793130591512,True,1750052.699019169,1750053.007898482
0.2473875309806317,True,1750052.760918209,1750053.00830574
0.31761435396037996,True,1750052.692791229,1750053.010405583
0.279096650891006,True,1750052.731843617,1750053.010940268
0.3084562949370593,True,1750052.706001879,1750053.014458174
0.343000311171636,True,1750052.676086248,1750053.019086559
0.27387956785969436,True,1750052.745692681,1750053.019572249
0.2581476899795234,True,1750052.762942315,1750053.021090005
0.3387388859409839,True,1750052.708935915,1750053.047674801
